event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,2023-08-20 02:36:00,,2023-08-20 02:36:30,1,,,false,2,00000,2023-08-20 02:37:00,false,AUTOMATIC,, 2,30,false,529I17M220,false,LATE,22215003,30,52082,true,DOWN,DOWN,DEPARTURE,52084,
ARRIVAL,,,2023-08-20 02:04:30,34,,,true,1,63629,2023-08-20 02:38:00,false,AUTOMATIC,MPA,,42,false,891Q85C919,false,LATE,52495113,42,63629,true,,,ARRIVAL,63624,
DEPARTURE,2023-08-20 02:38:00,,2023-08-20 02:38:00,1,,,false,1,00000,2023-08-20 02:37:00,false,AUTOMATIC,, 1,30,false,879I14M220,false,EARLY,22218000,30,52078,true,UP,UP,DEPARTURE,52074,
ARRIVAL,,,2023-08-20 02:40:00,1,,,true,1,89512,2023-08-20 02:39:00,false,AUTOMATIC,,,80,false,895Y741220,false,EARLY,24604004,80,89512,true,,,ARRIVAL,89517,
DEPARTURE,,,2023-08-20 02:04:30,34,,,true,2,63629,2023-08-20 02:38:00,false,AUTOMATIC,MPA,,42,false,891Q85C919,false,LATE,52495113,42,63629,true,DOWN,DOWN,DEPARTURE,63624,M
DEPARTURE,2023-08-20 02:38:00,,2023-08-20 02:38:30,0,,,false,1,00000,2023-08-20 02:38:00,false,AUTOMATIC,, 2,88,false,879W00M020,false,ON TIME,22721000,88,62211,true,DOWN,DOWN,DEPARTURE,62209,S
DEPARTURE,,,2023-08-20 02:39:00,1,,,false,3,00000,2023-08-20 02:38:00,false,AUTOMATIC,,,88,false,879W00M020,false,EARLY,22721000,88,62209,true,DOWN,DOWN,DEPARTURE,62203,S
ARRIVAL,2023-08-20 00:10:00,,2023-08-20 00:10:00,28,,,true,,00000,2023-08-20 00:38:00,false,MANUAL,MLG,,49,true,156J341919,false,LATE,53694102,49,15874,,,,DESTINATION,,
ARRIVAL,2023-08-20 02:40:00,,2023-08-20 02:39:30,0,,,true,1,52074,2023-08-20 02:39:00,false,AUTOMATIC,, 1,30,false,879I14M220,false,ON TIME,22218000,30,52074,true,UP,UP,ARRIVAL,87660,U
ARRIVAL,2023-08-20 02:38:00,,2023-08-20 02:38:00,0,,,true,1,52084,2023-08-20 02:38:00,false,AUTOMATIC,, 6,30,false,529I17M220,false,ON TIME,22215003,30,52084,true,DOWN,DOWN,ARRIVAL,52088,D
ARRIVAL,2023-08-20 02:36:00,,2023-08-20 02:36:00,3,,,false,1,00000,2023-08-20 02:39:00,false,AUTOMATIC,, 1,30,false,879I16M220,false,LATE,22218000,30,87572,true,UP,UP,ARRIVAL,87568,
