event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,,,2023-05-24 01:00:00,12,,,true,,52045,2023-05-24 00:48:00,false,MANUAL,HXJ,,16,true,572Q081W23,false,EARLY,52995001,16,52045,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-24 01:08:00,11,,,true,,52226,2023-05-24 00:57:00,false,MANUAL,HXJ,,16,true,572Q081W23,false,EARLY,52995001,16,52226,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-24 01:20:00,5,,,true,,50423,2023-05-24 01:15:00,false,MANUAL,HXJ,,16,true,572Q081W23,false,EARLY,52995001,16,50423,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-24 01:17:00,7,,,true,,50434,2023-05-24 01:10:00,false,MANUAL,HXJ,,16,true,572Q081W23,false,EARLY,52995001,16,50434,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-25 02:32:00,206,,,true,,51722,2023-05-24 23:06:00,false,MANUAL,JGN,,42,true,501Q98CY24,false,EARLY,52495113,42,51722,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-24 01:30:00,1,,,true,,50334,2023-05-24 01:29:00,false,MANUAL,HXJ,,16,true,572Q081W23,false,EARLY,52995001,16,50334,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-24 01:41:00,1,,,true,,50328,2023-05-24 01:42:00,false,MANUAL,HXJ,,16,true,572Q081W23,false,LATE,52995001,16,50328,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-24 01:52:00,2,,,true,,50324,2023-05-24 01:54:00,false,MANUAL,HXJ,,16,true,572Q081W23,false,LATE,52995001,16,50324,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-25 02:27:30,204,,,true,,51815,2023-05-24 23:03:00,false,MANUAL,JGN,,42,true,501Q98CY24,false,EARLY,52495113,42,51815,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-25 02:38:00,205,,,true,,47611,2023-05-24 23:13:00,false,MANUAL,JGN,,42,true,501Q98CY24,false,EARLY,52495113,42,47611,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-25 02:47:00,204,,,true,,47412,2023-05-24 23:23:00,false,MANUAL,JGN,,42,true,501Q98CY24,false,EARLY,52495113,42,47412,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-25 02:58:30,205,,,true,,47321,2023-05-24 23:33:00,false,MANUAL,JGN,,42,true,501Q98CY24,false,EARLY,52495113,42,47321,true,,,DEPARTURE,,
DEPARTURE,,,2023-05-25 03:14:00,205,,,true,,47221,2023-05-24 23:49:00,false,MANUAL,JGN,,42,true,501Q98CY24,false,EARLY,52495113,42,47221,true,,,DEPARTURE,,
